x,y,z
-0.027737401962280275,-0.059430950164794924,-0.0560692024230957
-0.02774789810180664,-0.059426155090332035,-0.056061111450195315
-0.027662811279296876,-0.05941489028930664,-0.0559734001159668
-0.02774789810180664,-0.059426155090332035,-0.056061111450195315
-0.027674333572387695,-0.05941043853759766,-0.05596661376953125
-0.028259111404418946,-0.05877555847167969,-0.05497156524658203
-0.02813841438293457,-0.05880117416381836,-0.05497307968139649
-0.028258060455322268,-0.05877140808105469,-0.05498498916625977
-0.02813841438293457,-0.05880117416381836,-0.05497307968139649
-0.028138307571411135,-0.058796924591064455,-0.054986515045166016
-0.028258060455322268,-0.05877140808105469,-0.05498498916625977
-0.02935011100769043,-0.05876841735839844,-0.05550893020629883
-0.029276123046875,-0.05875364685058594,-0.05541562271118164
-0.029338212966918947,-0.05877030181884766,-0.05551624298095703
-0.029276123046875,-0.05875364685058594,-0.05541562271118164
-0.029265380859375002,-0.058755050659179686,-0.055424636840820315
-0.029338212966918947,-0.05877030181884766,-0.05551624298095703
-0.028641019821166992,-0.059378787994384764,-0.056516780853271484
-0.028753644943237306,-0.05935282135009766,-0.056506771087646485
-0.028750707626342773,-0.059347179412841795,-0.05649419403076172
-0.028641019821166992,-0.059378787994384764,-0.056516780853271484
-0.028750707626342773,-0.059347179412841795,-0.05649419403076172
-0.0286396484375,-0.05937308502197266,-0.05650396728515625
-0.027914737701416018,-0.05949792098999024,-0.05622959518432617
-0.0280166015625,-0.059535789489746097,-0.05628783416748047
-0.028023921966552734,-0.059529617309570314,-0.05627749252319336
-0.027914737701416018,-0.05949792098999024,-0.05622959518432617
-0.028023921966552734,-0.059529617309570314,-0.05627749252319336
-0.027923469543457032,-0.05949238204956055,-0.05622002029418945
-0.028125036239624025,-0.05955449676513672,-0.0563451042175293
-0.028232225418090822,-0.05954240798950195,-0.056398799896240234
-0.028131080627441407,-0.05954811477661133,-0.05633409118652344
-0.028232225418090822,-0.05954240798950195,-0.056398799896240234
-0.028236589431762694,-0.05953625869750977,-0.05638689422607422
-0.028131080627441407,-0.05954811477661133,-0.05633409118652344
-0.028232225418090822,-0.05954240798950195,-0.056398799896240234
-0.028330196380615236,-0.05950313949584961,-0.05644679641723633
-0.028236589431762694,-0.05953625869750977,-0.05638689422607422
-0.028330196380615236,-0.05950313949584961,-0.05644679641723633
-0.02833296012878418,-0.059497200012207034,-0.056434322357177734
-0.028236589431762694,-0.05953625869750977,-0.05638689422607422
-0.027527156829833983,-0.0591982421875,-0.055456493377685545
-0.027521726608276367,-0.05925188064575195,-0.05555794906616211
-0.027535457611083985,-0.05924900054931641,-0.055559272766113284
-0.027527156829833983,-0.0591982421875,-0.055456493377685545
-0.027535457611083985,-0.05924900054931641,-0.055559272766113284
-0.027540616989135742,-0.05919549942016602,-0.05545963668823242
-0.029092458724975588,-0.0587156982421875,-0.055256309509277346
-0.028987321853637695,-0.05869802474975586,-0.05518930435180664
-0.029084081649780272,-0.058715415954589845,-0.05526763916015625
-0.028987321853637695,-0.05869802474975586,-0.05518930435180664
-0.02898024368286133,-0.05869663238525391,-0.05520140838623047
-0.029084081649780272,-0.058715415954589845,-0.05526763916015625
-0.028864843368530273,-0.05932297515869141,-0.05648736953735352
-0.02896817207336426,-0.059276519775390626,-0.05646187973022461
-0.028860475540161135,-0.059317272186279295,-0.05647524642944336
-0.02896817207336426,-0.059276519775390626,-0.05646187973022461
-0.02896185302734375,-0.05927188491821289,-0.056450164794921875
-0.028860475540161135,-0.059317272186279295,-0.05647524642944336
-0.02896817207336426,-0.059276519775390626,-0.05646187973022461
-0.029056825637817384,-0.05920528411865234,-0.05643069458007813
-0.02896185302734375,-0.05927188491821289,-0.056450164794921875
-0.029056825637817384,-0.05920528411865234,-0.05643069458007813
-0.029049142837524414,-0.05920127868652344,-0.056419578552246094
-0.02896185302734375,-0.05927188491821289,-0.056450164794921875
-0.028987321853637695,-0.05869802474975586,-0.05518930435180664
-0.028874336242675783,-0.05869104385375977,-0.055130653381347657
-0.02898024368286133,-0.05869663238525391,-0.05520140838623047
